File	Left Context	Hit	Right Context
wiki_corpus.txt	qaplan, ayıw, súylin, keklik, ǵaz hám úyrek sıyaqlılar. Kaspiy teńizi hám Kura dáryasında balıq (losos, osetr, sevryuga, beluga hám basqalar) mol. Zakatali, Turianchay, Qızıl aǵash, 	Shirvon 	hám basqa qorıqxanalar bar. Xalqı, tiykarınan, ázerbayjanlar (93%); ruslar, túrkler, lezginlar, avarlar, kurd, tolish, caxur, tatar, tatlar hám basqalar da jasaydı. Qala xalqı 54%. Rásmiy tili — 
wiki_corpus.txt	Ganjaviy shıǵarmaları — Ázerbayjan poeziyasınıń shoqqısı boldı. XIII-XIV ásirlerde Avxadiy Maroǵiy, Zulfiqor Shirvaniy, 15-16-ásirlerde Nasimiy, shah Ismayıl Xatoiy, M. Fizuliy, 17-18-ásirlerde Saib Tabriziy, Masihiy, Vidadiy, 	Vaqif 	hám basqa shayırlar jasap, dóretiwshilik etti. 19-20-ásirlerde Ázerbayjan ádebiyatında novella, dástan, drama janrları payda boldı. Realist jazıwshı M. F. Axundov, aǵartıwshılıq shayırı Said Azim 
wiki_corpus.txt	Shiyrin», A.Ostrovskiydiń «Gúldirmama» hám basqalar, 40-jılları R.Rizonıń «Sanaat», Z.Xalidtiń «Qasas» shıǵarmaları saxnalastırıldı. Respublikada rus drama teatrı, jas tamashagóyler teatrı, Quwırshaq teatrı (hámmesi 	Bakuda) 	hám basqa teatrlar bar. M.Aliev, M.Davudova, S.Ruxullo, A.Iskandarov, A.Alekperov, O.Qurbonov sıyaqlı artistler milliy kórkem óner rawajlanıwına múnásip úles 
wiki_corpus.txt	shekem. Iri dáryası — Kura jáne onıń tiykarǵı aǵısı — Arake. 250 kól bar (irileri: Gajikobul hám Ullı shor). Topıraǵı — kúlreń-otlaq, sorlaq, kúlreń-qońır, qońır, kashtan,taw-	kashtan 	hám basqa topıraqlar. Ósimlikleri júdá hár túrli — 4100 túrden asadı. Oypatlıqlarda shól hám shala shól ósimlikleri, kóbirek putalıqlar, Kura-Arake oypatlıǵınıń sorlaq jerlerinde sora, taw 
wiki_corpus.txt	Duvaniy hám Zira-Gorgon rayonlarındaǵı kánlerden qazıp alınadı. Neft hám gaz tiykarında ximiya hám neft ximiyası sanaatı mineral tógin, altınkúkirt kislotası, kaustik soda, sintetikalıq kauchuk, 	shina 	hám basqa ónimler (Sumgait, Salyani, Neftechala, Mingechaur, Baku) islep shıǵaradı. Mashinasazlıq hám metallsazlıq, tiykarınan, neft sanaatı ushın mashina-qurılmalar, elektr dvigateller, transformatorlar, kabel, radioelektron 
wiki_corpus.txt	danası, sózine iyildi adam balası» dep baslanatuǵın belgili qosıǵın dóretken. 1977-jili qısta Berdaq shayırǵa arnap Nókis, Qaraqalpaqstanda eskertkish ashıldı. Bul eskertkishti belgili jazıwshı Shıńǵıs Aytmatov 	ashtı 	hám ol Berdaq tuwralı bılay dedi «Ala tawda eń biyik shıńlardı «tuw shoqqı» desedi. «Sol aytqanday, Berdaq kóp milletli tuwısqan ádebiyatlarınıń «tuw shoqqılarınıń biri» («
wiki_corpus.txt	alǵan. Gannibal Ullı Pyotrge jaqsı tásir qaldırǵan hám ol oqıw ushın Parijge jiberilgen. Keyinshelik ol júdá bayıp ketedi. Pushkin óziniń ullı atası menen maqtanıshqa iye 	bolǵan 	hám ol haqqında Ullı Pyotrdıń nergi dep atalǵan romanında jazǵan. 19-ásirde Rossiyanıń barlıq aristokrat shańaraqları francuz tilin úyrengen, solay etip Pushkin, onıń ajaǵası hám 
wiki_corpus.txt	eki túrde kórinedi. Olar: materiallıq-adjiva, ruwxıy djiva. Adjiva menen djivanı baylanıstırıwshı bolıp karma esaplanadı hám onı názik materiya dep túsindirip, karmanıń denesin usı materiya 	quraydı 	hám ol jannıń turpayı materiya menen birigiwinde múmkinshilik beredi. Jansız materiya karmanıń qatnası arqalı Jan menen birigiwi individtiń payda bolıwına alıp keledi. B.e.
wiki_corpus.txt	úlkenligi boyınsha ekinshi materik bolıp, ol dúnya júzi jeriniń besten bir bólimine jaqın kóbirek jerdi iyeleydi hám ol úlken kólemde suw menen qorshalǵan. Ol 61 mámleketten 	ibarat 	hám ol jerde dúnya júzi xalqınıń 14% i jasaydı. Ol adamzat jasaǵan eń birinshi materik esaplanadı. Ol basqa kontinentler menen tómendegi shegaralarǵa iye: Arqasında Jer 
wiki_corpus.txt	Istanbulda Abissiniyalı (Efiopiyalı) bolǵan hám Túrk sultanınıń sarayında jasaǵan. Rus elshisi onı Rossiya patshası Ullı Pyotrǵa sawǵa retinde satıp alǵan. Gannibal Ullı Pyotrge jaqsı tásir 	qaldırǵan 	hám ol oqıw ushın Parijge jiberilgen. Keyinshelik ol júdá bayıp ketedi. Pushkin óziniń ullı atası menen maqtanıshqa iye bolǵan hám ol haqqında Ullı Pyotrdıń 
wiki_corpus.txt	járdem beriw bolıp tabıladı.  TITLE: Afrika Dúnya kartasında Afrika Afriká úlkenligi boyınsha ekinshi materik bolıp, ol dúnya júzi jeriniń besten bir bólimine jaqın kóbirek jerdi 	iyeleydi 	hám ol úlken kólemde suw menen qorshalǵan. Ol 61 mámleketten ibarat hám ol jerde dúnya júzi xalqınıń 14% i jasaydı. Ol adamzat jasaǵan eń birinshi materik 
wiki_corpus.txt	múmkin, biraq basqa bakteriyalar awqatlanıw, azıq-awqat islep shıǵarıw hám kislorod bólip shıǵarıw (kók-jasıl suw astı ósimligi) usaǵan kúndelikli háreketlerde paydalı bolıp esaplanadı.  Bakteriya 	bóliniw 	hám onıń aqıbetinde "kishkene" kletka payda etiw arqalı kóbeyedi. Hárbir jańa payda bolǵan bakteriya onı payda etken bakteriya usaydı, biraq kishirek boladı. Bakteriyanıń diametri 
wiki_corpus.txt	shayır qız Rabiyanıń bir quldı jaqsı kórip qalıwı, yaki bolmasa Temurdiń aqlıǵı Xalil mırzanıń bir temirshinin qızı Shadimúlkti jaqsı kóriwi, «Májgún» - dep atap onıń ústinen 	kúliw 	hám onıń ashıq bolǵanı ushın ayıplanıp súrginde bolıwı, sońınan Shadimúlktiń óz ashıǵı qábiri ústine barıp kóksine qanjar urıp qaytıs bolıwı Nawayınıń ashıqlıq haqqındaǵı dástanlarǵa 
wiki_corpus.txt	kerek?', 'Bul tiri organizm ne atqaradı?' Biologiya haywanlardıń hám basqa organizmlerdiń ózin tutıwın, háreketin hám olar qanday ekenligin baqlaydı.  Biologiya ilim sıpatında júzlegen jıllardan beri 	belgili 	hám onıń bólim hám tarawları kóp. Tarawlardıń kópshiligi óz aldına qaraladı. Barlıq ilimler sıyaqlı biologiya da ilimiy metodtan paydalanadı. Bul biologlar ózleriniń idealarına anıqlama 
wiki_corpus.txt	qorlarınan paydalanıw boyınsha shártnamalar dúzildi. 1959-jılı qabıl etilgen shártnama eki tiykarǵı jaǵdaydan kelip shıǵadı: Ol qandayda bir mámlekettiń Antaraktika aymaǵınınıń hesh bir bóleginiń suverenitetin tán 	almaydı 	hám onıń menen birge aymaqlıq dawlardı biykarlamaydı da; Shártnama mámleketler xalıqaralıq birlespesi kózqarasınan kelip shıǵıp, Antarktika tek tınısh máselelerde paydalanıwı lazımlıǵın belgileydi. Usıǵan muwapıq, 
wiki_corpus.txt	boladı. Súrginnen qaytıp keliwi  1825-jılǵı kóterilisten keyin taza patsha Nikolay I sol waqıtqa kelip Pushkinniń júdá belgili bolıp ketkenin túsinedi. Ol onıń kóteriliste qatnaspaǵanın da 	túsinedi 	hám onıń qaytıp keliwine ruxsat beredi. Patsha Pushkinniń jumısları baspadan shıǵıwınan aldın ózi kórip shıǵatuǵınlıǵın aytadı. Ol óziniń jaqsı patsha bolatuǵının hám jarlılardıń (qullardıń) 
wiki_corpus.txt	qosıp keńeytip jazǵan. Kórnekli shayır 1878-jılı eliw tórt jasında qaytıs bolǵan. Shayırdıń denesi Quwandáryanıń boyındaǵı Quwsırıq qoyımshılıǵına jerlengen. 200px|thumb|right| Moynaq rayonındaǵı Ájiniyaz baba 	maqbarası 	hám onıń qoyımshılıǵı Atın mángilestiriw: Ájiniyazdıń Nókis qalasındaǵı eskertkishi. Ájiniyaz Qosıbay ulınıń Nókis mámleketlik pedinstitutınıń jańa imaratı aldındaǵı byusti 1990-jıldan Xiywadaǵı Sherǵazıxan mediresesinde Ájiniyazdıń 
wiki_corpus.txt	esaplanadı. Ázerbayjandaǵı meshit, maqbara, medirese hám basqa imaratlardıń qurılısı hám bezewleri Orta Aziya hám Iran arxitekturası menen óz ara maslasqan. XIX ásirdiń 1-yarımında Ázerbayjanda qurılısta 	Rossiya 	hám Evropa arxitekturasınıń tásiri kúsheydi. XX ásir Baku hám basqa qalalar qayta qurıldı, jańa imarat hám imaratlar qurıldı. Baspasóz úyi (arxitektorı S. S. Pen), «
wiki_corpus.txt	Kategoriya:Qaraqalpaq folklorı  TITLE: Aziya Dúnya kartasında Aziya Aziya — Jerdiń arqa yarım sharında jaylasqan hám eń úlken dep esaplanatuǵın kontinent. Ol batısta Evropa menen shegaralasqan. 	Aziya 	hám Evropa birgelikte Evraziya materigin quraydı. Aziya Jer Orta teńizi, Qara teńiz, Arqa Muz okeanı, Tınısh okeanı hám Hind okeanı menen qorshalǵan. Ol Evropadan 
wiki_corpus.txt	ashıp, arab, parsı hám túrkiy tillerin úyrendi. Bul tillerde qosıqlar jazǵan shayırlardıń shıǵarmaları menen tanıstı. Sońınan jáne orıssha mektepte úsh jıl oqıdı. Bul jaǵdaylar onıń 	Shıǵıs 	hám Evropa mádeniyatın jaqınnan úyreniwine sebepshi boldı. Ol bilim alıwdı jáne de dawam etpekshi edi. Biraq ákesi onıń hákimshilik penen shuǵıllanıwın talap etti. Solay 
wiki_corpus.txt	jasaǵan zaman qazaq dalasınıń jańadan oyanıp atırǵan dáwirleri edi. Sonıń ushın da kóshpeli xalıq arasınan jańadan mektep hám medreseler ashılıp, ilimniń paydası tusindirile baslanadı. Xalıqtıń 	shıǵıs 	hám Evropa tillerinde bilim alıwları keleshekke bolǵan isenimlerin ádewir molayttı. Ásirese Abay sıyaqlı talantlı shayırlar ushın bul jańalıqlar ayrıqsha edi, solay bolsada Abay ilimniń 
wiki_corpus.txt	ańlatadı. Ómiri  Eunshteyn Germaniyanıń Vyurtemberg qalasınıń Ulm degen jerinde tuwılǵan. Ol evrey shańaraǵınan bolǵan, biraq shańaraǵı diniy bolmaǵan. Albert katolik mektebinde oqıǵan. Ol jaqsı oqıwshı 	bolmaǵan 	hám kóplegen adamlar onı aqılsız esaplaǵan. Bir kúni onıń ákesi oǵan magnitlik kompas beredi. Ol kórinbes kúshtiń qalay kompastıń iynesin qozǵaltıwın túsiniwge qızıqqan hám 
wiki_corpus.txt	bir neshe tropikalıq ıǵal toǵaylar bar. Jasıl jer ıǵal toǵaylardı kórsetedi. Haywanatları  Afrika haywanlarǵa bay. Ol jerde haywanlardıń túrleri kóp. Máselen gepard, pil, arıslan, jılan, 	jiraf 	hám kóplegen basqa haywanlar. Afrika kól hám dáryalarında balıqtıń 2,000 nan aslam túri jasaydı. Sırtqı siltemeler  Basqa web-saytlar  Afrika jańalıqları (Herald Tribune) (inglis tilinde)  
wiki_corpus.txt	rus shayırı qollanbaǵan stilde jazǵan: ol eski shirkew kitablarına tiykarlańgan emes, al awız eki rus tilinen paydalanǵan stilde jazǵan. Onıń basqa rus jazıwshılarına tásiri kúshli 	bolǵan 	hám kóplegen rus kompozitorları onıń gúrrińlerine hám taqmaqlarına namalar dóretken. Pushkinniń poemaları Rossiyadan basqa mámleketlerde aytarlıqtay kóp adam tárepinen oqılmaydı. Bunıń sebebi onıń poeziyasın 
wiki_corpus.txt	Suxravardiy, Abu Abdulloh Xoqoniy Sufiy, Shayx Tabriziy, Qosim Anvariy sıyaqlı ázerbayjan shayır hám ilimpazlardıń atların da húrmet penen tilge aladı. Muhammed Fizuliy shıǵarmaları, ásirese, onıń «	Láyli 	hám Majnun» dástanı XVII ásirden baslap Túrkstan medireselerinde oqıw qollanba wazıypasın atqarǵan. Bul ǵana emes, Fizuliy ózbek xalqı arasında eń súyikli shayırlardan biri bolgan. 
wiki_corpus.txt	Haft paykar» dı awdarǵan. Nawayınıń shıǵarmaları óziniń ómirinde-aq Ázerbayjan shayırları arasında belgili bolǵan. Ásirese, Kishvariy hám Fizuliy Nawayını ózleriniń ullı ustazları dep bilgen. Fizuliy «	Láyli 	hám Majnun» nıń baslamasında Nawayını Nizamiy menen bir qatarǵa qoyadı. Nawayı «Majolis un-nafois,» «Muhokamat ul-luǵatayn» shigarmalarında Nizamiy, Xoqoniy menen birge Shayx Shirvaniy, 
wiki_corpus.txt	A.Axverdiyevtiń «Talanǵan uya», «Aǵa Muxammadshah Qojar» shıǵarmaları kórgizbe etildi. 1916-jılı Ázerbayjan muzıkalı teatrı da gastrolǵa kelip, U.Hojibekovtıń «Arshin mol olon,» «Asli hám Karam,» «	Láyli 	hám Majnun» sıyaqlı spektakllerin kórsetti. Keyin ala Ázerbayjan dramaturglarınıń «Góruǵlı,» «Nargiz,» «Sevil,» «Juldız,» «Qaynana» sıyaqlı bir qatar shıǵarmaları Ózbekstan teatrlarında tabıslı saxnalastırıldı. H.Nosirova, 
wiki_corpus.txt	keldi. Ózleriniń tereń ilimiy pikirleri menen dúnya iliminiń rawajlanıwına úlken úles qosqan Ábúw Rayxan Beruniy, Ábúw Nasır Farabiy, Ábúw Áliy ibn Sina, Muhammed Xorezmiy, Mahmud 	Zamaxshariy 	hám t.b. ullı alım hám allamalar usı tilde miynetlerin dóretken. Klassikalıq arab tili házirgi arab tiliniń payda bolıwına negiz saldı. Házirgi arab tili 
wiki_corpus.txt	bolıwı múmkin. Hár qanday ekonomikalıq kategoriya sıpatında bahalı qaǵaz tiyisli bazar sıpatlamalarına iye, olar iyelik etiw, shıǵarıw formasına, bahalı qaǵazǵa qoyılmalar qáwpi dárejesin, dáramattı tólew 	formaların 	hám t.b. óz ishine aladı. Bahalı qaǵaz ózin aqshaǵa jaqınlastıratuǵın bir qatar sıpatlarǵa iye. Usınday tiykarǵı sıpatlamalardıń biri — bul hár qıylı formalarda (ótew, 
wiki_corpus.txt	jaqınlastıratuǵın bir qatar sıpatlarǵa iye. Usınday tiykarǵı sıpatlamalardıń biri — bul hár qıylı formalarda (ótew, satıp alıw-satıw, aktsiyanı emitentke qaytarıw, iyelew huqıqın bir-birewge beriw 	jolı 	hám t.b.) aqshaǵa almasıw imkaniyatı. Ol sonday-aq girew zatı bolıwı, miyrasxorlık boyınsha ótkeriliwi hám kóp jıl dawamında saqlanıwı múmkin. Bahalı qaǵazlar qayda 
wiki_corpus.txt	VI-IV ásirler) etikalıq hám formal máselelerdi sheshiw. Filosofiyanıń rawajlanıwınıń eń áhmiyetlisi bolıp jańalıqlardı jasaw kitabı (b.e.sh. XII-VI ásir) bolıp esaplanadı. Bunda 	dúnya 	hám adam haqqındaǵı Qıtay filosofiyasında birinshi túsinikler óz kórinisin tabadı. Bul kitaptıń úsh áhmiyetli bóleklerinen birewi İnv hám Yan elementleri haqqındaǵı miflerdi beredi. Yan 
wiki_corpus.txt	Konfuciylik etika adamdı onıń sotsiallıq funktsiyası menen baylanısta túsinedi, al tábiyat bul adamdı usı funktsiyanı tiyislik dárejede orınlawǵa ákeliwi dep biledi. Daosizmniń dıqqat orayında tábiyat, 	kosmos 	hám adam turadı, biraq olar ratsionallıq jol menen emes, al logikalıq izbe-izlik formalardı konstruktsiya etiw menen emes, al tirishiliktiń tábiyatına tikkeley eniwdiń járdemi 
wiki_corpus.txt	kelindi. Jazıw-sızıw, ilim-bilimlendiriw, mámleketlik isler usı jazıwda júrgizildi. Biziń diyarımızda ata-babalarımızdan miyras bolıp arab tili, arab grafikası tiykarındaǵı fars, túrkiy tillerinde kóplegen 	qoljazba 	hám baspa kitaplar saqlanıp qalǵan. Bul qoljazba hám baspa kitaplarda tariyxımız, mádeniyat, ádebiyat tariyxımız boyınsha ele ilimiy kópshilikke málim bolmaǵan qunlı derekler saqlanǵan.  TITLE: 
wiki_corpus.txt	usı jazıwda júrgizildi. Biziń diyarımızda ata-babalarımızdan miyras bolıp arab tili, arab grafikası tiykarındaǵı fars, túrkiy tillerinde kóplegen qoljazba hám baspa kitaplar saqlanıp qalǵan. Bul 	qoljazba 	hám baspa kitaplarda tariyxımız, mádeniyat, ádebiyat tariyxımız boyınsha ele ilimiy kópshilikke málim bolmaǵan qunlı derekler saqlanǵan.  TITLE: Aral teńizi Aral Teńizi (, ) — Orta Aziya teńizi. 
wiki_corpus.txt	sevryuga, beluga hám basqalar) mol. Zakatali, Turianchay, Qızıl aǵash, Shirvon hám basqa qorıqxanalar bar. Xalqı, tiykarınan, ázerbayjanlar (93%); ruslar, túrkler, lezginlar, avarlar, kurd, tolish, caxur, tatar, 	tatlar 	hám basqalar da jasaydı. Qala xalqı 54%. Rásmiy tili — Ázerbayjan tili. Iri qalaları: Boku, Sumgait, Mingechaur, Ganja, Lenkoran, Naxichevan. Dinge sıyınıwshıları — tiykarınan musulmanlar. Ázerbayjanda paleolit 
wiki_corpus.txt	hám medreselerde oqıtıldı. 20-ásirden zamanagóy bilimlendiriw sisteması engizildi. Óner-texnika bilimlendiriwleri hám joqarı oqıw orınları ashıldı. Ázerbayjan universiteti, neft hám ximiya institutı, politexnika, pedagogikalıq, medicina 	universiteti 	hám basqalar da bar. Institutlardı muwapıqlastırıwshı Ázerbayjan Ilimler akademiyası isleydi. Kitapxanaları: Respublikalıq kitapxana, Ázerbayjan universiteti kitapxanası, Ilimler akademiyası kitapxanası hám basqa 38 muzey bar, irileri: 
wiki_corpus.txt	baslarında Ázerbayjan Arab xalifalıǵı qol astına ótti, islam dini tarqaldı. Bobak kóterilisi, Xurramiyler háreketinde dıyqanlar hám ónermentler qatnastı. XI ásir ortalarında Saljukiyler basshı túrk qáwimleri (	oǵuzlar 	hám basqalar) bastırıp keldi. XII ásirde Saljukiyler poziciyası tómenlep, Shirvonshahlar, Kasroniylar, Eldegiziylar patshalıǵı rawajlanıwı menen ónermentshilik, diyqanshılıq, sawda-satıq rawajlandı. Sol dáwirde jetilisip shıqqan 
wiki_corpus.txt	kemiriwshiler, jabayı jalǵızaq, nutriya, yenot tárizli iyt, dikobrazn, qaplan, ayıw, súylin, keklik, ǵaz hám úyrek sıyaqlılar. Kaspiy teńizi hám Kura dáryasında balıq (losos, osetr, sevryuga, 	beluga 	hám basqalar) mol. Zakatali, Turianchay, Qızıl aǵash, Shirvon hám basqa qorıqxanalar bar. Xalqı, tiykarınan, ázerbayjanlar (93%); ruslar, túrkler, lezginlar, avarlar, kurd, tolish, caxur, tatar, tatlar 
wiki_corpus.txt	Ilimler akademiyası isleydi. Kitapxanaları: Respublikalıq kitapxana, Ázerbayjan universiteti kitapxanası, Ilimler akademiyası kitapxanası hám basqa 38 muzey bar, irileri: Ázerbayjan tariyxı, Kórkem óner, Ádebiyat muzeyleri, Awıl xojalıǵı 	muzeyi 	hám basqalar. Baspasózi, radioesittiriwi hám telekórsetiwleri  Ázerbayjanda 500 den artıq, gazeta hám jurnal dizimge alınǵan. Iri gazetaları: «Azerbayjan» (ázerbayjan tilinde), «Vishka» («Minara,» rus tilinde), «Bakinskiy 
wiki_corpus.txt	qatnasların ornatqan. Siyasiy partiyaları  Jańa Ázerbayjan, Ázerbayjan xalıq frontı, Milliy ǵárezsizlik partiyası, Teńlik, Ázerbayjan xalıq partiyası, Ázerbayjan diyqanlar partiyası, Tuwrı jol partiyası, Ázerbayjan social-demokratiyalıq 	partiyası 	hám basqalar. Xojalıǵı  Azerbaydjan — industrial-agrar mámleket. Neft, temir ruda, alunit kánleri bar; altınkúkirt kolchedani, barit, kobalt, molibden, margimush sıyaqlılar sanaat tiykarında qazıp shıǵarıladı. 
wiki_corpus.txt	tiyresinen Hámra degen qızǵa úylengen. Onnan Naǵmetulla, Habibulla, Nietulla degen úsh bala hám Húrzada atlı bir qız tuwıladı. Shayırdıń aqlıq-shawlıqları házirgi Qońırat, Qanlıkól, Shomanay 	rayonlarında 	hám de Nókis qalasında turadı. Ájiniyaz Qosıbay ulı 1858-1859-jıllardaǵı Qońırat kóterilisiniń tek qatnasıwshısı ǵana emes, onıń baslawshılarınıń biri boldı. Sonıń ushın da, ol kóterilis 
wiki_corpus.txt	tuwrısında tolıǵıraq maǵlıwmatqa iye bolıw ushın bahalawdıń basqa usılları da qollanıladı. Máselen, tiykarǵı qurallar, materiallıq emes aktivler, olardı satıp alıw, qurıw hám tiklew dáslepki qunı 	boyınsha 	hám de tozıw summası alıp taslanǵannan keyingi qaldıq, yaǵnıy sap qunı boyınsha bahalanadı. Tozıw yamasa amortizatsiya esaplaw tiykarǵı qurallardıń bahasın anıqlastırıw usılı esaplanadı. Shiyki 
wiki_corpus.txt	mediresesi dógereginde sawat ashıw Ájiniyaz shayırdı qanaatlandıra almadı. Ol bunnan da tereńirek bilim jolın ańsar edi. Sol waqıttaǵı Xiywa hám Buxaranıń medireselerinde tiykarınan qaraqalpaqlardıń jergilikli 	bayları 	hám din iyeleriniń balaların ǵana oqıtatuǵın edi. Biraq Ájiniyazdıń talantlılıǵı, shayırlıǵı kem-kemnen awıl adamları arqalı da tarala baslaydı. Xiywa medireselerinde oqıwǵa tilek bildirgen 
wiki_corpus.txt	mediresesiniń aldında, «1840 — 1844-jılları qaraqalpaq ádebiyatınıń klassigi Ájiniyaz Qosıbay ulı oqıǵan», degen jazıwlar jazılǵan. Ájiniyaz Xiywada oǵada qıyınshılıq jaǵdaylarda oqıydı. Ol waqıtta Xiywada oqıytuǵınlardıń hámmesi derlik 	bay 	hám din iyeleriniń balaları bolǵanı ushın olar hádden zıyat qárejetler menen támiyinlenetuǵın edi. Ájiniyazdıń ákesi bolsa, tapqan-tutqanı ózine zordan jetetuǵın orta hallı adam 
